YEAR,COUNTRY,CLASS_1_BURN_AREA_KM2,CLASS_1_BURN_AREA_PCT,CLASS_2_BURN_AREA_KM2,CLASS_2_BURN_AREA_PCT,CLASS_3_BURN_AREA_KM2,CLASS_3_BURN_AREA_PCT,CLASS_4_BURN_AREA_KM2,CLASS_4_BURN_AREA_PCT,CLASS_5_BURN_AREA_KM2,CLASS_5_BURN_AREA_PCT,CLASS_6_BURN_AREA_KM2,CLASS_6_BURN_AREA_PCT,CLASS_7_BURN_AREA_KM2,CLASS_7_BURN_AREA_PCT,CLASS_8_BURN_AREA_KM2,CLASS_8_BURN_AREA_PCT,CLASS_9_BURN_AREA_KM2,CLASS_9_BURN_AREA_PCT,CLASS_10_BURN_AREA_KM2,CLASS_10_BURN_AREA_PCT,CLASS_11_BURN_AREA_KM2,CLASS_11_BURN_AREA_PCT,CLASS_12_BURN_AREA_KM2,CLASS_12_BURN_AREA_PCT,CLASS_13_BURN_AREA_KM2,CLASS_13_BURN_AREA_PCT,CLASS_14_BURN_AREA_KM2,CLASS_14_BURN_AREA_PCT,CLASS_15_BURN_AREA_KM2,CLASS_15_BURN_AREA_PCT,CLASS_16_BURN_AREA_KM2,CLASS_16_BURN_AREA_PCT,CLASS_17_BURN_AREA_KM2,CLASS_17_BURN_AREA_PCT,CLASS_18_BURN_AREA_KM2,CLASS_18_BURN_AREA_PCT,CLASS_19_BURN_AREA_KM2,CLASS_19_BURN_AREA_PCT
1984,Canada,3174.1884,0.00031892074008215907,650.4147,6.534922044460734e-05,0.0,0.0,0.0,0.0,350.6886,3.523479193937457e-05,251.6769,2.5286773529127485e-05,0.0,0.0,1291.9959,0.00012981091122729675,0.0,0.0,1085.8734,0.00010910113223384293,55.791,5.60549808887328e-06,70.8399,7.117508631606788e-06,4.0761,4.095386488870316e-07,1476.6804,0.00014836674660924937,40.9554,4.114918471241611e-06,198.0621,1.9899925131799547e-05,9.1035,9.146574152113765e-07,222.5187,2.2357157025121736e-05,0.0,0.0
1984,United States,228.11759999999998,2.4098844956354507e-05,0.1287,1.3596151046139471e-08,21.3939,2.260098646977492e-06,0.855,9.032408037645103e-08,21.0654,2.225395184517066e-06,32.8401,3.4693003882698123e-06,216.6624,2.2888692435268752e-05,2279.3840999999998,0.0002407991493066719,81.1116,8.568807810365549e-06,2164.7628,0.0002286903030914049,44.9208,4.745532104999393e-06,5.0463,5.331022301797483e-07,0.0,0.0,404.2314,4.270389411027524e-05,45.5625,4.813322704271403e-06,15.2316,1.6090997224116392e-06,40.4613,4.274420717351694e-06,6.3747,6.734373276909502e-07,0.0,0.0
1985,Canada,2912.6943,0.00029264760144328113,264.5775,2.658293758148931e-05,0.0,0.0,0.0,0.0,216.0738,2.1709617554006693e-05,367.5312,3.6927021189821e-05,0.0,0.0,1775.6883,0.00017840901529072152,0.0,0.0,719.0226,7.224247298232147e-05,22.8141,2.292204727453602e-06,88.4295,8.884791332831814e-06,7.9452,7.982793535824055e-07,448.82099999999997,4.5094464299729244e-05,26.1126,2.62361544685545e-06,92.00789999999999,9.244324489814555e-06,7.9668,8.004495738458828e-07,190.6281,1.9153007657786102e-05,0.8154,8.192581494626863e-08
1985,United States,860.5395,9.090928533931109e-05,0.0,0.0,576.2529,6.087662369212046e-05,6.7437,7.124192992218395e-07,231.7257,2.4480012575543132e-05,344.6127,3.640564352461498e-05,712.4697,7.526686602173796e-05,4339.9331999999995,0.0004584800879359395,283.3011,2.9928551259809348e-05,4238.793,0.0004477954147732608,25.4367,2.6871889301890897e-06,1.3329,1.4081048740791997e-07,0.0,0.0,2404.611,0.0002540283944305243,169.7004,1.7927523473118e-05,28.5264,3.0135916332757807e-06,179.09189999999998,1.8919662187568806e-05,45.5706,4.814178406085496e-06,0.0036,3.803119173745306e-10
1986,Canada,3318.0038999999997,0.0003333703378739239,597.9537,6.007829797968681e-05,0.0,0.0,0.0,0.0,140.4999,1.4116468981321127e-05,870.7004999999999,8.74820309499921e-05,0.0,0.0,1812.9267,0.0001821504750249564,0.0,0.0,391.6071,3.93460029509994e-05,70.76429999999999,7.109912860684616e-06,89.0334,8.945467074364867e-06,0.39239999999999997,3.9425668119837876e-08,723.3281999999999,7.267507022150793e-05,16.412399999999998,1.6490056968655126e-06,100.2411,1.0071540113576659e-05,14.103,1.4169729803620631e-06,122.0148,1.2259212565006103e-05,0.0,0.0
1986,United States,704.3049,7.440431859313252e-05,0.5327999999999999,5.628616377143053e-08,77.8257,8.221678107781947e-06,3.7674,3.979964215324463e-07,116.8875,1.2348252567254292e-05,65.4174,6.910838006571284e-06,322.6275,3.408307864520872e-05,2418.3657,0.000255481471188833,126.33749999999999,1.3346571350362433e-05,3078.2781,0.0003251960684508409,39.0366,4.123912276050723e-06,3.9402,4.162513935664238e-07,0.0,0.0,1107.2772,0.00011697519861030601,79.875,8.438170666747398e-06,70.7814,7.477502763459335e-06,89.9442,9.501903099643961e-06,17.2854,1.8260676712738088e-06,0.0,0.0
1987,Canada,3576.0069,0.00035929271466271734,1196.6814,0.00012023436218548154,0.0,0.0,0.0,0.0,507.24629999999996,5.096463883490245e-05,603.5121,6.063676799415497e-05,0.0,0.0,1114.785,0.00011200597205650733,0.0,0.0,493.6824,4.9601830935283005e-05,144.5427,1.4522661873968631e-05,92.5056,9.294329981718846e-06,0.1413,1.41968575569141e-08,989.6247,9.943072116563233e-05,31.986,3.2137345068326565e-06,102.5613,1.0304657940211847e-05,7.3683,7.403163873786989e-07,213.4791,2.144891984485648e-05,0.0,0.0
1987,United States,2431.2275999999997,0.00025684023059163285,0.081,8.55701814092694e-09,52.858799999999995,5.584119882810233e-06,4.1193,4.351719114558067e-07,3106.2194999999997,0.0003281478593975433,186.9183,1.9746460295941035e-05,308.7162,3.261345831849419e-05,2284.9955999999997,0.00024139196050787943,124.7886,1.3182942147912043e-05,1895.1552,0.0002002083632873089,48.0366,5.07469206948705e-06,3.8322,4.048420360451879e-07,0.0,0.0,1491.6177,0.00015757777429910763,90.5805,9.56912323103991e-06,76.6458,8.097030876862445e-06,265.8267,2.8082517212873377e-05,29.781,3.146130336480805e-06,0.0054,5.70467876061796e-10
1988,Canada,5105.268,0.0005129424103741807,481.37399999999997,4.836516708847818e-05,0.0,0.0,0.0,0.0,333.8037,3.353831267424548e-05,374.28569999999996,3.7605667151379216e-05,0.0,0.0,2021.9022,0.00020314690394487788,0.0,0.0,718.6392,7.220395157264474e-05,66.5748,6.688980555414329e-06,1117.6596,0.00011229479220323841,14.6673,1.473669984745408e-06,1732.9068,0.00017411062278137175,23.6997,2.381183758256172e-06,92.466,9.290351244569136e-06,14.9409,1.5011594414161207e-06,254.9547,2.561610445411017e-05,0.0,0.0
1988,United States,2795.9391,0.0002953691555509499,0.3006,3.1756045100773304e-08,65.5335,6.923103065906613e-06,0.8217,8.680619514073662e-08,348.8553,3.685384111924086e-05,743.3631,7.85305127406875e-05,467.6373,4.94022328330135e-05,10081.9719,0.0010650816845014278,308.9151,3.2634470551929134e-05,2978.9523,0.0003147030724945189,46.8135,4.945481095559053e-06,0.4563,4.8204535527221756e-08,0.0,0.0,1874.1500999999998,0.00019798933832740787,81.50399999999999,8.610261809359373e-06,40.1877,4.2455170116312295e-06,107.0919,1.1313423840078194e-05,70.07039999999999,7.402391159777864e-06,0.0072,7.606238347490612e-10
